Depth;ProjArea;StraightLength;StraightWidth;WLRatio
12.5;0.1213;0.5786;0.3256;0.562737643
12.5;0.0894;0.4521;0.2641;0.584162796
12.5;0.0396;0.2743;0.2063;0.752096245
12.5;0.0429;0.483;0.1186;0.245548654
12.5;0.0088;0.2831;0.0708;0.250088308
12.5;0.1383;0.7046;0.2953;0.419103037
12.5;0.1328;0.891;0.1778;0.199551066
12.5;0.1154;0.6888;0.2375;0.344802555
12.5;0.0393;0.4853;0.1257;0.259015042
12.5;0.1101;0.9451;0.1536;0.162522484
12.5;0.0425;0.6735;0.0761;0.112991834
12.5;0.0312;0.3399;0.131;0.385407473
12.5;0.084;0.8315;0.1227;0.147564642
12.5;0.0322;0.7043;0.0761;0.108050547
12.5;0.0426;0.459;0.1251;0.27254902
12.5;0.0254;0.2131;0.1528;0.717034256
12.5;0.0008;0.0626;0.0177;0.282747604
