"Site","Depth","ProjArea","StraightLength","StraightWidth","WLRatio","Volume","Age","keep"
"BOC",0,0.029,0.286,0.1516,0.5301,1,2020.9,TRUE
"BOC",0,0.0291,0.2729,0.143,0.524,1,2020.9,TRUE
"BOC",0,0.0291,0.2937,0.1327,0.4518,1,2020.9,TRUE
"BOC",0,0.0292,0.2654,0.1769,0.6665,1,2020.9,TRUE
"BOC",0,0.0293,0.3378,0.1197,0.3544,1,2020.9,TRUE
"BOC",0,0.0294,0.2409,0.1716,0.7123,1,2020.9,TRUE
"BOC",0,0.0301,0.3363,0.1088,0.3235,1,2020.9,TRUE
"BOC",0,0.0302,0.5201,0.1065,0.2048,1,2020.9,TRUE
"BOC",0,0.0303,0.3118,0.1457,0.4673,1,2020.9,TRUE
"BOC",0,0.0303,0.2756,0.1738,0.6306,1,2020.9,TRUE
"BOC",0,0.0303,0.4849,0.0739,0.1524,1,2020.9,TRUE
"BOC",0,0.0303,0.3446,0.1424,0.4132,1,2020.9,TRUE
"BOC",0,0.0306,0.556,0.0837,0.1505,1,2020.9,TRUE
"BOC",0,0.0307,0.241,0.1864,0.7734,1,2020.9,TRUE
"BOC",0,0.0308,0.2681,0.1908,0.7117,1,2020.9,TRUE
"BOC",0,0.031,0.3614,0.1023,0.2831,1,2020.9,TRUE
"BOC",0,0.0313,0.4358,0.1149,0.2637,1,2020.9,TRUE
"BOC",0,0.0316,0.5249,0.0846,0.1612,1,2020.9,TRUE
"BOC",0,0.0316,0.2749,0.1519,0.5526,1,2020.9,TRUE
"BOC",0,0.0317,0.4027,0.1002,0.2488,1,2020.9,TRUE
"BOC",0,0.0322,0.5423,0.1063,0.196,1,2020.9,TRUE
"BOC",0,0.0324,0.3417,0.1333,0.3901,1,2020.9,TRUE
"BOC",0,0.0326,0.3761,0.1533,0.4076,1,2020.9,TRUE
"BOC",0,0.0326,0.4218,0.1049,0.2487,1,2020.9,TRUE
"BOC",0,0.033,0.4774,0.0929,0.1946,1,2020.9,TRUE
"BOC",0,0.0332,0.3151,0.157,0.4983,1,2020.9,TRUE
"BOC",0,0.0338,0.3825,0.1181,0.3088,1,2020.9,TRUE
"BOC",0,0.0339,0.2807,0.1936,0.6897,1,2020.9,TRUE
"BOC",0,0.0341,0.2949,0.1848,0.6267,1,2020.9,TRUE
"BOC",0,0.0342,0.3108,0.1449,0.4662,1,2020.9,TRUE
"BOC",0,0.0347,0.4669,0.0926,0.1983,1,2020.9,TRUE
"BOC",0,0.0348,0.3781,0.1333,0.3526,1,2020.9,TRUE
"BOC",0,0.0349,0.3363,0.148,0.4401,1,2020.9,TRUE
"BOC",0,0.0349,0.4839,0.0954,0.1971,1,2020.9,TRUE
"BOC",0,0.0355,0.2971,0.1845,0.621,1,2020.9,TRUE
"BOC",0,0.0356,0.2767,0.1702,0.6151,1,2020.9,TRUE
"BOC",0,0.0361,0.5191,0.1087,0.2094,1,2020.9,TRUE
"BOC",0,0.0364,0.5169,0.0815,0.1577,1,2020.9,TRUE
"BOC",0,0.0365,0.3275,0.1474,0.4501,1,2020.9,TRUE
"BOC",0,0.0367,0.3848,0.1215,0.3157,1,2020.9,TRUE
"BOC",0,0.037,0.3632,0.1648,0.4537,1,2020.9,TRUE
"BOC",0,0.0374,0.3544,0.1528,0.4312,1,2020.9,TRUE
"BOC",0,0.0377,0.2605,0.2386,0.9159,1,2020.9,TRUE
"BOC",0,0.0379,0.3978,0.1095,0.2753,1,2020.9,TRUE
"BOC",0,0.0383,0.291,0.1847,0.6347,1,2020.9,TRUE
"BOC",0,0.0386,0.4375,0.1255,0.2869,1,2020.9,TRUE
"BOC",0,0.0388,0.3179,0.1821,0.5728,1,2020.9,TRUE
"BOC",0,0.0389,0.291,0.2043,0.7021,1,2020.9,TRUE
"BOC",0,0.039,0.3544,0.1498,0.4227,1,2020.9,TRUE
"BOC",0,0.039,0.5001,0.1147,0.2294,1,2020.9,TRUE
"BOC",0,0.0395,0.3464,0.1447,0.4177,1,2020.9,TRUE
"BOC",0,0.0395,0.2852,0.2256,0.791,1,2020.9,TRUE
"BOC",0,0.0396,0.3099,0.1599,0.516,1,2020.9,TRUE
"BOC",0,0.0397,0.4419,0.1337,0.3026,1,2020.9,TRUE
"BOC",0,0.0402,0.636,0.1031,0.1621,1,2020.9,TRUE
"BOC",0,0.0408,0.3629,0.1534,0.4227,1,2020.9,TRUE
"BOC",0,0.0409,0.3538,0.1592,0.45,1,2020.9,TRUE
"BOC",0,0.0417,0.4475,0.1156,0.2583,1,2020.9,TRUE
"BOC",0,0.0418,0.4903,0.1259,0.2568,1,2020.9,TRUE
"BOC",0,0.042,0.2837,0.207,0.7296,1,2020.9,TRUE
"BOC",0,0.0424,0.3027,0.1948,0.6435,1,2020.9,TRUE
"BOC",0,0.0431,0.3709,0.1686,0.4546,1,2020.9,TRUE
"BOC",0,0.0433,0.3468,0.1898,0.5473,1,2020.9,TRUE
"BOC",0,0.0433,0.3202,0.1807,0.5643,1,2020.9,TRUE
"BOC",0,0.0435,0.3513,0.1952,0.5557,1,2020.9,TRUE
"BOC",0,0.0437,0.2655,0.2432,0.916,1,2020.9,TRUE
"BOC",0,0.0438,0.5367,0.1114,0.2076,1,2020.9,TRUE
"BOC",0,0.0438,0.5118,0.1097,0.2143,1,2020.9,TRUE
"BOC",0,0.0442,0.4918,0.1156,0.2351,1,2020.9,TRUE
"BOC",0,0.0442,0.336,0.171,0.5089,1,2020.9,TRUE
"BOC",0,0.0448,0.5712,0.1034,0.181,1,2020.9,TRUE
